EAN;Descripción;Provincia;Precio
8445290094773;Alimento para perros DOGUI Adultos Todos los Tamaños 8x1kgAR;AMBA;245,00
8445290266460;Almento para perros DOG CHOW Adulto M/G SinCol 8x1kg AR;AMBA;466,00
7613287239822;Café NESCAFE DOLCA Cappuccino 96x12.5g AR;AMBA;55,00
7613287867841;Leche en polvo NIDO FortiGrow Prebioticos Sfpk12x400gAR;AMBA;468,00
7613287763464;Leche en polvo SVELTY Figura lata 12x370g;AMBA;498,60
7891000345399;Caldo Verdura Maggi 12 un;AMBA;70,48
7891000345344;Caldo Gallina Maggi 12 un;AMBA;70,48
8445290060952;Puré de Papas Chef 100 Gr;AMBA;115,00
7790790120257;Conserva de Arveja Secas Remojadas Inca 350 gr;AMBA;47,49
7790790124293;Lentejas Secas Remojadas en Lata Inca 350 gr;AMBA;76,58
7798111060909;Postrecito Chocolate Yatasto 100 gr;AMBA;38,96
7798111060916;Postrecito Vainilla Yatasto 100 gr;AMBA;38,96
7798111060978;Postrecito Dulce de Leche Yatasto 100 gr;AMBA;38,96
7798111060169;Yogur Bebible Descremado Frutilla Yatasto 1 lt;AMBA;101,12
7798111060190;Yogur Bebible Descremado Vainilla Yatasto 1 lt;AMBA;101,12
7790957000545;Alfajor Chocolate Jorgito 6 un;AMBA;173,34
7794906000273;Snacks Sabor Queso Sin Tacc Kapac 100 gr;AMBA;96,41
7794906000280;Snacks Sabor Pizza Sin Tacc Kapac 100 gr;AMBA;96,41
7794906000297;Snacks Sabor Jamón Ahumado Sin Tacc Kapac 100 gr;AMBA;96,41
7794906000242;Almidón de Maíz s/tacc Kapac 500 gr;AMBA;139,07
7791620002453;Ketchup Dánica 220 gr;AMBA;54,49
7791620001074;Margarina Con Vitamina A y D Delicia 500 gr;AMBA;221,90
7791620009810;Margarina Clásica Dánica 500 gr;AMBA;222,19
7791620001029;Margarina Clásica Delicia 200 gr;AMBA;101,90
7791620009827;Margarina Clásica Dánica Dorada 200 gr;AMBA;98,00
7794450002037;Vino Tinto Bonarda Syrah Varietales Europeos Valderrobles 700 cc;AMBA;166,50
7796953303123;Paté de Foie Clásico Bocatti 90 gr;AMBA;133,65
7791519200021;Preservativo Anatomico Prime 3 Un;AMBA;248,00
7791519200090;Preservativos Tachas Prime 3 Un;AMBA;248,00
7790064004023;Pañales Descartables P Estrella 30 un;AMBA;725,00
7790064004689;Quitaesmalte Hipoalargénico Botella Estrella 50 ml;AMBA;119,90
7790064104518;Jabón de Tocador Para Bebés Duerme Feliz Estrella Baby 75 gr;AMBA;112,20
7790064000247;Algodón Premium Estrella 150 gr;AMBA;319,95
