,0,1,2,3,4,5,6,7,8,9,10
229,7/3/2021 17:01,7/3/2021,Telegram Empleos,*****,*****,Advertido,Tiro comandos en Empleos,*****,*****,*****,*****
230,7/3/2021 22:52,7/3/2021,Telegram Empleos,*****,*****,Eliminado,Spam empelo no IT,*****,*****,*****,*****
231,9/3/2021 10:40,9/3/2021,Telegram Empleos,*****,*****,Eliminado,Spam querés ser tu propio jefe,*****,*****,*****,*****
232,10/3/2021 1:20,10/3/2021,Telegram Empleos,*****,*****,Silenciado,Buscaba empleo.,*****,*****,*****,*****
233,11/3/2021 21:52,11/3/2021,Telegram Empleos,*****,*****,Eliminado,Spam trabajo para no argentina,*****,*****,*****,*****
234,12/3/2021 16:39,12/3/2021,Telegram Empleos,*****,*****,Eliminado,"Spam de ""quieres ser tu propio jefe""",*****,*****,*****,*****
235,13/03/2021 12:24:21,13/03/2021,Telegram Empleos,*****,*****,Silenciado,Tiro comandos de bot,*****,*****,*****,*****
236,13/03/2021 12:25:11,13/03/2021,Telegram Empleos,*****,*****,Silenciado,Tiro comandos de bot,*****,*****,*****,*****
237,13/03/2021 12:25:50,13/03/2021,Telegram Empleos,*****,*****,Silenciado,Tiro comandos de bot,*****,*****,*****,*****
238,13/03/2021 12:26:33,13/03/2021,Telegram Empleos,*****,*****,Silenciado,Tiro comandos de bot,*****,*****,*****,*****
239,13/03/2021 12:27:26,13/03/2021,Telegram Empleos,*****,*****,Silenciado,Tiro comandos de bot,*****,*****,*****,*****
,,,,,,,,*****,*****,*****,*****
